IB Offset,Index,Index + Base,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 0,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 1,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 2,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 3,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 0,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 1,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 2,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 3,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 0,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 1,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 2,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 3,3 - TEXCOORD0 (R16G16_FLOAT) : Component 0,3 - TEXCOORD0 (R16G16_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 0,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 2,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 3,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 0,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 1,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 2,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 3,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 0,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 1,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 2,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 3,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 0,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 1,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 2,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 3,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 0,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 1,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 2,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 3
0,0,0,-12.0000,1.0000,-0.0577,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.9990,1.0000,0.0079,0.0079,32.1973,0.0079,0.0079,0.0079,32.1973,0.0079,0.0079,0.0079,32.1973,0.0079,0.0079,0.0079,32.1973,0.0079,0.0079,0.0079,32.1973,0.0079
1,1,1,-12.0000,3.0000,-0.0577,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.9990,0.5000,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078
2,2,2,-12.0000,1.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.5010,1.0000,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078
3,1,1,-12.0000,3.0000,-0.0577,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.9990,0.5000,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078
4,3,3,-12.0000,3.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.5010,0.5000,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079
5,2,2,-12.0000,1.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.5010,1.0000,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078
6,1,1,-12.0000,3.0000,-0.0577,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.9990,0.5000,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078
7,4,4,-12.0000,5.0000,-0.0577,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.9990,0.0010,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078
8,3,3,-12.0000,3.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.5010,0.5000,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079
9,4,4,-12.0000,5.0000,-0.0577,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.9990,0.0010,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078
