IB Offset,Index,Index + Base,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 0,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 1,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 2,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 3,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 0,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 1,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 2,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 3,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 0,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 1,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 2,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 3,3 - TEXCOORD0 (R16G16_FLOAT) : Component 0,3 - TEXCOORD0 (R16G16_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 0,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 2,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 3,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 0,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 1,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 2,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 3,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 0,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 1,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 2,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 3,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 0,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 1,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 2,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 3,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 0,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 1,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 2,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 3
0,0,0,-12.0000,1.0000,-6.0586,0.9004,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.5010,1.0010,0.0079,0.0028,0.0079,0.0001,0.0079,0.0028,0.0079,0.0001,0.0079,0.0028,0.0079,0.0001,0.0079,0.0028,0.0079,0.0001,0.0079,0.0028,0.0079,0.0001
1,1,1,-12.0000,1.0000,-8.0000,0.6133,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.9990,1.0010,0.0079,0.0001,32.1973,0.0000,0.0079,0.0001,32.1973,0.0000,0.0079,0.0001,32.1973,0.0000,0.0079,0.0001,32.1973,0.0000,0.0079,0.0001,32.1973,0.0000
2,2,2,-12.0000,3.0000,-8.0000,0.5039,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.9990,0.5000,32.1973,0.0000,32.1973,0.0012,32.1973,0.0000,32.1973,0.0012,32.1973,0.0000,32.1973,0.0012,32.1973,0.0000,32.1973,0.0012,32.1973,0.0000,32.1973,0.0012
3,3,3,-12.0000,3.0000,-6.0586,0.8252,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.5010,0.5000,32.1973,0.0012,0.0079,0.0079,32.1973,0.0012,0.0079,0.0079,32.1973,0.0012,0.0079,0.0079,32.1973,0.0012,0.0079,0.0079,32.1973,0.0012,0.0079,0.0079
4,0,0,-12.0000,1.0000,-6.0586,0.9004,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.5010,1.0010,0.0079,0.0028,0.0079,0.0001,0.0079,0.0028,0.0079,0.0001,0.0079,0.0028,0.0079,0.0001,0.0079,0.0028,0.0079,0.0001,0.0079,0.0028,0.0079,0.0001
5,2,2,-12.0000,3.0000,-8.0000,0.5039,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.9990,0.5000,32.1973,0.0000,32.1973,0.0012,32.1973,0.0000,32.1973,0.0012,32.1973,0.0000,32.1973,0.0012,32.1973,0.0000,32.1973,0.0012,32.1973,0.0000,32.1973,0.0012
6,4,4,-12.0000,1.0000,-0.0577,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.9990,1.0000,0.0079,0.0079,32.1973,0.0079,0.0079,0.0079,32.1973,0.0079,0.0079,0.0079,32.1973,0.0079,0.0079,0.0079,32.1973,0.0079,0.0079,0.0079,32.1973,0.0079
7,5,5,-12.0000,3.0000,-0.0577,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.9990,0.5000,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078
8,6,6,-12.0000,1.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.5010,1.0000,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078
9,5,5,-12.0000,3.0000,-0.0577,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.9990,0.5000,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078
10,7,7,-12.0000,3.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.5010,0.5000,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079
11,6,6,-12.0000,1.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.5010,1.0000,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078
12,5,5,-12.0000,3.0000,-0.0577,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.9990,0.5000,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078,32.1973,0.0079,0.0079,0.0078
13,8,8,-12.0000,5.0000,-0.0577,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.9990,0.0010,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078
14,7,7,-12.0000,3.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.5010,0.5000,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079
15,8,8,-12.0000,5.0000,-0.0577,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.9990,0.0010,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078,2060.6250,0.0079,2060.6250,0.0078
16,9,9,-12.0000,5.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.5010,0.0010,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078
17,7,7,-12.0000,3.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.5010,0.5000,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079,32.1973,0.0078,2060.6250,0.0079
18,10,10,-12.0000,3.0000,3.9414,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.0010,0.5000,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078
19,11,11,-12.0000,1.0000,3.9414,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.0010,1.0000,0.0079,0.0078,0.0079,0.0078,0.0079,0.0078,0.0079,0.0078,0.0079,0.0078,0.0079,0.0078,0.0079,0.0078,0.0079,0.0078,0.0079,0.0078,0.0079,0.0078
20,12,12,-12.0000,1.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.4990,1.0000,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078
21,13,13,-12.0000,3.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.4990,0.5000,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078
22,10,10,-12.0000,3.0000,3.9414,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.0010,0.5000,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078
23,12,12,-12.0000,1.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.4990,1.0000,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078
24,14,14,-12.0000,5.0000,3.9414,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.0010,0.0010,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078
25,10,10,-12.0000,3.0000,3.9414,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.0010,0.5000,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078
26,13,13,-12.0000,3.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.4990,0.5000,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078
27,15,15,-12.0000,5.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.4990,0.0010,2060.6250,0.0078,0.0079,0.0078,2060.6250,0.0078,0.0079,0.0078,2060.6250,0.0078,0.0079,0.0078,2060.6250,0.0078,0.0079,0.0078,2060.6250,0.0078,0.0079,0.0078
28,14,14,-12.0000,5.0000,3.9414,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.0010,0.0010,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078,2060.6250,0.0078
29,13,13,-12.0000,3.0000,1.9424,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,1.4990,0.5000,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078,32.1973,0.0078,2060.6250,0.0078
30,16,16,-12.0000,1.0000,3.9414,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,1.0000,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078,0.0079,0.0078,32.1973,0.0078
31,17,17,-12.0000,3.0000,3.9414,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.1973,0.0078,0.0079,0.0029,32.1973,0.0078,0.0079,0.0029,32.1973,0.0078,0.0079,0.0029,32.1973,0.0078,0.0079,0.0029,32.1973,0.0078,0.0079,0.0029
32,18,18,-12.0000,1.0000,5.9414,0.9053,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,1.0000,0.0079,0.0029,32.1973,0.0014,0.0079,0.0029,32.1973,0.0014,0.0079,0.0029,32.1973,0.0014,0.0079,0.0029,32.1973,0.0014,0.0079,0.0029,32.1973,0.0014
33,17,17,-12.0000,3.0000,3.9414,1.0000,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.1973,0.0078,0.0079,0.0029,32.1973,0.0078,0.0079,0.0029,32.1973,0.0078,0.0079,0.0029,32.1973,0.0078,0.0079,0.0029,32.1973,0.0078,0.0079,0.0029
34,19,19,-12.0000,3.0000,5.9414,0.8423,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.1973,0.0014,2060.6250,0.0078,32.1973,0.0014,2060.6250,0.0078,32.1973,0.0014,2060.6250,0.0078,32.1973,0.0014,2060.6250,0.0078,32.1973,0.0014,2060.6250,0.0078
