IB Offset,Index,Index + Base,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 0,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 1,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 2,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 3,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 0,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 1,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 2,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 3,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 0,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 1,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 2,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 3,3 - TEXCOORD0 (R16G16_FLOAT) : Component 0,3 - TEXCOORD0 (R16G16_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 0,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 2,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 3,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 0,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 1,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 2,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 3,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 0,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 1,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 2,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 3,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 0,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 1,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 2,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 3,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 0,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 1,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 2,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 3
0,0,0,3.9629,-1.7080,-12.1172,1.0000,0.0000,1.0000,0.0000,0.0000,127,127,0,255,0.9897,-0.9336,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079
1,1,1,3.9629,-1.7080,-15.6563,1.0000,0.0000,1.0000,0.0000,0.0000,127,127,0,255,0.9897,-1.8193,-0.4165,0.0079,-0.4175,0.0079,-0.4165,0.0079,-0.4175,0.0079,-0.4165,0.0079,-0.4175,0.0079,-0.4165,0.0079,-0.4175,0.0079,-0.4165,0.0079,-0.4175,0.0079
2,2,2,-3.9629,-1.7080,-15.6563,1.0000,0.0000,1.0000,0.0000,0.0000,127,127,0,255,-0.9917,-1.8193,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079
3,3,3,-3.9629,-1.7080,-12.1172,1.0000,0.0000,1.0000,0.0000,0.0000,127,127,0,255,-0.9917,-0.9336,-0.4175,0.0079,0.0000,0.0078,-0.4175,0.0079,0.0000,0.0078,-0.4175,0.0079,0.0000,0.0078,-0.4175,0.0079,0.0000,0.0078,-0.4175,0.0079,0.0000,0.0078
4,0,0,3.9629,-1.7080,-12.1172,1.0000,0.0000,1.0000,0.0000,0.0000,127,127,0,255,0.9897,-0.9336,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079,-0.4165,0.0079
5,2,2,-3.9629,-1.7080,-15.6563,1.0000,0.0000,1.0000,0.0000,0.0000,127,127,0,255,-0.9917,-1.8193,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079,-0.4175,0.0079
6,4,4,1.9990,0.0085,8.1484,1.0000,-0.0000,1.0000,0.0000,0.0000,127,127,0,255,-4.0000,2.5371,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078
7,5,5,-0.0011,0.0085,8.1484,1.0000,-0.0000,1.0000,0.0000,0.0000,127,127,0,255,-4.5000,2.5371,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078
8,6,6,-0.0011,0.0085,10.0000,1.0000,-0.0000,1.0000,0.0000,0.0000,127,127,0,255,-4.5000,3.0000,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078
9,7,7,1.9990,0.0085,10.0000,1.0000,-0.0000,1.0000,0.0000,0.0000,127,127,0,255,-4.0000,3.0000,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078,0.0000,0.0078
