IB Offset,Index,Index + Base,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 0,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 1,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 2,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 3,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 0,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 1,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 2,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 3,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 0,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 1,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 2,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 3,3 - TEXCOORD0 (R16G16_FLOAT) : Component 0,3 - TEXCOORD0 (R16G16_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 0,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 2,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 3,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 0,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 1,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 2,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 3,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 0,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 1,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 2,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 3,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 0,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 1,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 2,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 3,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 0,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 1,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 2,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 3
0,0,0,2.3086,-3.5000,-12.4531,0.6870,0.0000,1.0000,0.0000,0.0000,127,127,254,255,1.4639,1.0156,-128.2524,0.0002,-128.2524,0.0007,-128.2524,0.0002,-128.2524,0.0007,-128.2524,0.0002,-128.2524,0.0007,-128.2524,0.0002,-128.2524,0.0007,-128.2524,0.0002,-128.2524,0.0007
1,1,1,2.3086,-3.5000,-12.1953,0.7744,0.0000,1.0000,0.0000,0.0000,127,127,255,255,1.4619,0.9365,-128.2524,0.0007,-128.2820,0.0057,-128.2524,0.0007,-128.2820,0.0057,-128.2524,0.0007,-128.2820,0.0057,-128.2524,0.0007,-128.2820,0.0057,-128.2524,0.0007,-128.2820,0.0057
2,2,2,8.4063,-3.5000,-12.1953,0.9663,0.0000,1.0000,0.0000,0.0000,127,127,254,255,-0.1166,0.9365,-128.2820,0.0057,-128.2820,0.0059,-128.2820,0.0057,-128.2820,0.0059,-128.2820,0.0057,-128.2820,0.0059,-128.2820,0.0057,-128.2820,0.0059,-128.2820,0.0057,-128.2820,0.0059
3,3,3,8.4063,-3.5000,-12.4531,0.9683,0.0000,1.0000,0.0000,0.0000,127,127,254,255,-0.1163,1.0186,-128.2820,0.0059,-128.7524,0.0002,-128.2820,0.0059,-128.7524,0.0002,-128.2820,0.0059,-128.7524,0.0002,-128.2820,0.0059,-128.7524,0.0002,-128.2820,0.0059,-128.7524,0.0002
4,0,0,2.3086,-3.5000,-12.4531,0.6870,0.0000,1.0000,0.0000,0.0000,127,127,254,255,1.4639,1.0156,-128.2524,0.0002,-128.2524,0.0007,-128.2524,0.0002,-128.2524,0.0007,-128.2524,0.0002,-128.2524,0.0007,-128.2524,0.0002,-128.2524,0.0007,-128.2524,0.0002,-128.2524,0.0007
5,2,2,8.4063,-3.5000,-12.1953,0.9663,0.0000,1.0000,0.0000,0.0000,127,127,254,255,-0.1166,0.9365,-128.2820,0.0057,-128.2820,0.0059,-128.2820,0.0057,-128.2820,0.0059,-128.2820,0.0057,-128.2820,0.0059,-128.2820,0.0057,-128.2820,0.0059,-128.2820,0.0057,-128.2820,0.0059
6,4,4,-2.3086,-3.5000,-16.0000,0.6567,0.0000,1.0000,0.0000,0.0000,127,127,254,255,2.6660,1.9375,-128.7524,0.0002,-128.7819,0.0073,-128.7524,0.0002,-128.7819,0.0073,-128.7524,0.0002,-128.7819,0.0073,-128.7524,0.0002,-128.7819,0.0073,-128.7524,0.0002,-128.7819,0.0073
7,5,5,-8.3516,-3.5000,-16.0000,0.9907,0.0000,1.0000,0.0000,0.0000,127,127,254,255,4.2344,1.9375,-128.7819,0.0073,-128.7819,0.0055,-128.7819,0.0073,-128.7819,0.0055,-128.7819,0.0073,-128.7819,0.0055,-128.7819,0.0073,-128.7819,0.0055,-128.7819,0.0073,-128.7819,0.0055
8,6,6,-8.3516,-3.5000,-12.4531,0.9619,0.0000,1.0000,0.0000,0.0000,127,127,254,255,4.2344,1.0186,-128.7819,0.0055,-128.7524,0.0003,-128.7819,0.0055,-128.7524,0.0003,-128.7819,0.0055,-128.7524,0.0003,-128.7819,0.0055,-128.7524,0.0003,-128.7819,0.0055,-128.7524,0.0003
9,7,7,-2.3086,-3.5000,-12.4531,0.6963,0.0000,1.0000,0.0000,0.0000,127,127,254,255,2.6660,1.0156,-128.7524,0.0003,-128.0000,0.0001,-128.7524,0.0003,-128.0000,0.0001,-128.7524,0.0003,-128.0000,0.0001,-128.7524,0.0003,-128.0000,0.0001,-128.7524,0.0003,-128.0000,0.0001
