IB Offset,Index,Index + Base,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 0,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 1,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 2,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 3,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 0,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 1,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 2,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 3,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 0,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 1,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 2,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 3,3 - TEXCOORD0 (R16G16_FLOAT) : Component 0,3 - TEXCOORD0 (R16G16_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 0,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 2,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 3,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 0,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 1,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 2,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 3,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 0,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 1,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 2,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 3,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 0,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 1,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 2,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 3,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 0,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 1,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 2,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 3
0,0,0,7.4531,-2.5859,-13.7891,0.9604,-0.9302,-0.0000,0.3667,0.0000,127,255,127,255,-0.5010,1.7715,-10.7674,0.0054,-0.0000,0.0047,-10.7674,0.0054,-0.0000,0.0047,-10.7674,0.0054,-0.0000,0.0047,-10.7674,0.0054,-0.0000,0.0047,-10.7674,0.0054,-0.0000,0.0047
1,1,1,7.4531,-0.0000,-13.7891,0.9502,-0.9302,-0.0000,0.3667,0.0000,127,254,127,255,-0.5010,1.1250,-0.0000,0.0047,-10.7674,0.0041,-0.0000,0.0047,-10.7674,0.0041,-0.0000,0.0047,-10.7674,0.0041,-0.0000,0.0047,-10.7674,0.0041,-0.0000,0.0047,-10.7674,0.0041
2,2,2,7.2344,-2.5859,-14.3516,0.9399,-0.8364,-0.0000,0.5483,0.0000,127,254,127,255,-0.6631,1.7715,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037
3,1,1,7.4531,-0.0000,-13.7891,0.9502,-0.9302,-0.0000,0.3667,0.0000,127,254,127,255,-0.5010,1.1250,-0.0000,0.0047,-10.7674,0.0041,-0.0000,0.0047,-10.7674,0.0041,-0.0000,0.0047,-10.7674,0.0041,-0.0000,0.0047,-10.7674,0.0041,-0.0000,0.0047,-10.7674,0.0041
4,3,3,7.2344,-0.0000,-14.3516,0.9297,-0.8364,-0.0000,0.5483,0.0000,127,254,127,255,-0.6631,1.1250,-0.0000,0.0037,-0.0000,0.0035,-0.0000,0.0037,-0.0000,0.0035,-0.0000,0.0037,-0.0000,0.0035,-0.0000,0.0037,-0.0000,0.0035,-0.0000,0.0037,-0.0000,0.0035
5,2,2,7.2344,-2.5859,-14.3516,0.9399,-0.8364,-0.0000,0.5483,0.0000,127,254,127,255,-0.6631,1.7715,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037
6,2,2,7.2344,-2.5859,-14.3516,0.9399,-0.8364,-0.0000,0.5483,0.0000,127,254,127,255,-0.6631,1.7715,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037
7,3,3,7.2344,-0.0000,-14.3516,0.9297,-0.8364,-0.0000,0.5483,0.0000,127,254,127,255,-0.6631,1.1250,-0.0000,0.0037,-0.0000,0.0035,-0.0000,0.0037,-0.0000,0.0035,-0.0000,0.0037,-0.0000,0.0035,-0.0000,0.0037,-0.0000,0.0035,-0.0000,0.0037,-0.0000,0.0035
8,4,4,6.3516,-0.0000,-15.2344,0.9229,-0.5879,-0.0000,0.8091,0.0000,127,253,127,255,-0.9990,1.1250,-0.0000,0.0035,-10.7672,0.0034,-0.0000,0.0035,-10.7672,0.0034,-0.0000,0.0035,-10.7672,0.0034,-0.0000,0.0035,-10.7672,0.0034,-0.0000,0.0035,-10.7672,0.0034
9,5,5,6.3516,-2.5859,-15.2344,0.9219,-0.5879,-0.0000,0.8091,0.0000,127,253,127,255,-0.9990,1.7715,-10.7672,0.0034,-0.0000,0.0045,-10.7672,0.0034,-0.0000,0.0045,-10.7672,0.0034,-0.0000,0.0045,-10.7672,0.0034,-0.0000,0.0045,-10.7672,0.0034,-0.0000,0.0045
10,2,2,7.2344,-2.5859,-14.3516,0.9399,-0.8364,-0.0000,0.5483,0.0000,127,254,127,255,-0.6631,1.7715,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037,-10.7674,0.0041,-0.0000,0.0037
