IB Offset,Index,Index + Base,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 0,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 1,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 2,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 3,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 0,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 1,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 2,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 3,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 0,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 1,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 2,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 3,3 - TEXCOORD0 (R16G16_FLOAT) : Component 0,3 - TEXCOORD0 (R16G16_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 0,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 2,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 3,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 0,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 1,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 2,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 3,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 0,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 1,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 2,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 3,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 0,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 1,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 2,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 3,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 0,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 1,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 2,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 3
0,0,0,20.0000,0.9785,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,0,-0.0010,1.0000,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079
1,1,1,20.0000,0.9785,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,0,-0.4990,1.0000,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079
2,2,2,20.0000,3.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,0,-0.0010,0.5000,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079
3,1,1,20.0000,0.9785,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,0,-0.4990,1.0000,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079
4,3,3,20.0000,3.0000,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,0,-0.4990,0.5000,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079
5,2,2,20.0000,3.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,0,-0.0010,0.5000,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079
6,2,2,20.0000,3.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,0,-0.0010,0.5000,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079,32.0752,0.0079
7,3,3,20.0000,3.0000,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,0,-0.4990,0.5000,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079
8,4,4,20.0000,5.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,0,-0.0010,0.0010,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079
9,3,3,20.0000,3.0000,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,0,-0.4990,0.5000,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079
10,5,5,20.0000,5.0000,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,0,-0.4990,0.0010,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079
11,4,4,20.0000,5.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,0,-0.0010,0.0010,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079
12,6,6,20.0000,3.0000,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.5010,0.5000,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079
13,7,7,20.0000,0.9785,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.5010,1.0000,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079,0.0065,0.0079
14,8,8,20.0000,0.9785,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.9990,1.0000,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079
15,9,9,20.0000,3.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.9990,0.5000,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079
16,6,6,20.0000,3.0000,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.5010,0.5000,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079
17,8,8,20.0000,0.9785,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.9990,1.0000,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079
18,10,10,20.0000,5.0000,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.5010,0.0010,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079
19,6,6,20.0000,3.0000,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.5010,0.5000,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079,32.0752,0.0079,0.0065,0.0079
20,9,9,20.0000,3.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.9990,0.5000,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079,32.0752,0.0079,2052.8125,0.0079
21,11,11,20.0000,5.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.9990,0.0010,2052.8125,0.0079,0.0065,0.0078,2052.8125,0.0079,0.0065,0.0078,2052.8125,0.0079,0.0065,0.0078,2052.8125,0.0079,0.0065,0.0078,2052.8125,0.0079,0.0065,0.0078
22,10,10,20.0000,5.0000,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.5010,0.0010,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079,2052.8125,0.0079
