IB Offset,Index,Index + Base,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 0,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 1,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 2,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 3,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 0,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 1,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 2,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 3,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 0,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 1,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 2,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 3,3 - TEXCOORD0 (R16G16_FLOAT) : Component 0,3 - TEXCOORD0 (R16G16_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 0,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 2,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 3,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 0,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 1,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 2,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 3,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 0,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 1,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 2,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 3,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 0,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 1,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 2,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 3,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 0,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 1,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 2,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 3
0,0,0,4.0000,-0.5000,-12.0000,0.9932,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,-0.5010,0.3032,-0.0000,0.0074,-0.1253,0.0076,-0.0000,0.0074,-0.1253,0.0076,-0.0000,0.0074,-0.1253,0.0076,-0.0000,0.0074,-0.1253,0.0076,-0.0000,0.0074,-0.1253,0.0076
1,1,1,4.0000,-1.5000,-12.0781,0.9961,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,-0.5078,0.5000,-0.1253,0.0076,-0.1253,0.0076,-0.1253,0.0076,-0.1253,0.0076,-0.1253,0.0076,-0.1253,0.0076,-0.1253,0.0076,-0.1253,0.0076,-0.1253,0.0076,-0.1253,0.0076
2,2,2,4.0000,-1.5000,-12.0000,0.9961,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,-0.5010,0.5000,-0.1253,0.0076,-0.1257,0.0078,-0.1253,0.0076,-0.1257,0.0078,-0.1253,0.0076,-0.1257,0.0078,-0.1253,0.0076,-0.1257,0.0078,-0.1253,0.0076,-0.1257,0.0078
3,3,3,-4.0000,-1.5000,-12.0781,0.9990,1.0000,0.0000,0.0000,0.0000,127,255,127,255,-0.9902,0.5000,-0.1257,0.0078,-0.0000,0.0076,-0.1257,0.0078,-0.0000,0.0076,-0.1257,0.0078,-0.0000,0.0076,-0.1257,0.0078,-0.0000,0.0076,-0.1257,0.0078,-0.0000,0.0076
4,4,4,-4.0000,-0.5000,-12.0000,0.9956,1.0000,0.0000,0.0000,0.0000,127,255,127,255,-0.9990,0.3032,-0.0000,0.0076,-0.1257,0.0076,-0.0000,0.0076,-0.1257,0.0076,-0.0000,0.0076,-0.1257,0.0076,-0.0000,0.0076,-0.1257,0.0076,-0.0000,0.0076,-0.1257,0.0076
5,5,5,-4.0000,-1.5000,-12.0000,0.9961,1.0000,0.0000,0.0000,0.0000,127,255,127,255,-0.9990,0.5000,-0.1257,0.0076,-0.0000,0.0076,-0.1257,0.0076,-0.0000,0.0076,-0.1257,0.0076,-0.0000,0.0076,-0.1257,0.0076,-0.0000,0.0076,-0.1257,0.0076,-0.0000,0.0076
6,6,6,-4.0000,-0.5000,-12.0000,0.9956,1.0000,0.0000,0.0000,0.0000,127,255,127,255,-0.9990,0.3032,-0.0000,0.0076,0.0079,0.0017,-0.0000,0.0076,0.0079,0.0017,-0.0000,0.0076,0.0079,0.0017,-0.0000,0.0076,0.0079,0.0017,-0.0000,0.0076,0.0079,0.0017
7,7,7,-4.0000,1.0000,-14.0000,0.8560,1.0000,0.0000,0.0000,0.0000,127,255,127,255,-0.5010,0.0009,0.0079,0.0017,0.0079,0.0077,0.0079,0.0017,0.0079,0.0077,0.0079,0.0017,0.0079,0.0077,0.0079,0.0017,0.0079,0.0077,0.0079,0.0017,0.0079,0.0077
8,8,8,-4.0000,1.0000,-12.0000,0.9976,1.0000,0.0000,0.0000,0.0000,127,255,127,255,-0.9990,0.0009,0.0079,0.0077,-0.0000,0.0076,0.0079,0.0077,-0.0000,0.0076,0.0079,0.0077,-0.0000,0.0076,0.0079,0.0077,-0.0000,0.0076,0.0079,0.0077,-0.0000,0.0076
9,9,9,-4.0000,-0.5000,-12.0000,0.9956,1.0000,0.0000,0.0000,0.0000,127,254,126,255,-0.9990,0.3032,-0.0000,0.0076,-0.1257,0.0038,-0.0000,0.0076,-0.1257,0.0038,-0.0000,0.0076,-0.1257,0.0038,-0.0000,0.0076,-0.1257,0.0038,-0.0000,0.0076,-0.1257,0.0038
10,10,10,-4.0000,-1.5000,-14.0000,0.9331,1.0000,0.0000,0.0000,0.0000,127,254,126,255,-0.5010,0.5000,-0.1257,0.0038,0.0079,0.0017,-0.1257,0.0038,0.0079,0.0017,-0.1257,0.0038,0.0079,0.0017,-0.1257,0.0038,0.0079,0.0017,-0.1257,0.0038,0.0079,0.0017
11,11,11,-4.0000,1.0000,-14.0000,0.8560,1.0000,0.0000,0.0000,0.0000,127,254,126,255,-0.5010,0.0009,0.0079,0.0017,-0.1257,0.0078,0.0079,0.0017,-0.1257,0.0078,0.0079,0.0017,-0.1257,0.0078,0.0079,0.0017,-0.1257,0.0078,0.0079,0.0017,-0.1257,0.0078
12,12,12,-4.0000,-1.5000,-12.0781,0.9990,1.0000,0.0000,0.0000,0.0000,127,255,127,255,-0.9902,0.5000,-0.1257,0.0078,-0.1257,0.0038,-0.1257,0.0078,-0.1257,0.0038,-0.1257,0.0078,-0.1257,0.0038,-0.1257,0.0078,-0.1257,0.0038,-0.1257,0.0078,-0.1257,0.0038
13,13,13,-4.0000,-1.5000,-14.0000,0.9331,1.0000,0.0000,0.0000,0.0000,127,255,127,255,-0.5010,0.5000,-0.1257,0.0038,-0.0000,0.0076,-0.1257,0.0038,-0.0000,0.0076,-0.1257,0.0038,-0.0000,0.0076,-0.1257,0.0038,-0.0000,0.0076,-0.1257,0.0038,-0.0000,0.0076
14,14,14,-4.0000,-0.5000,-12.0000,0.9956,1.0000,0.0000,0.0000,0.0000,127,255,127,255,-0.9990,0.3032,-0.0000,0.0076,-1.9357,0.0079,-0.0000,0.0076,-1.9357,0.0079,-0.0000,0.0076,-1.9357,0.0079,-0.0000,0.0076,-1.9357,0.0079,-0.0000,0.0076,-1.9357,0.0079
15,15,15,-4.0000,-1.9912,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.4990,-0.0010,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079
16,16,16,-4.0000,-1.0371,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.4990,-0.2629,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079
17,17,17,-4.6719,-1.9912,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.3293,-0.0010,-1.9357,0.0079,-0.0135,0.0079,-1.9357,0.0079,-0.0135,0.0079,-1.9357,0.0079,-0.0135,0.0079,-1.9357,0.0079,-0.0135,0.0079,-1.9357,0.0079,-0.0135,0.0079
18,17,17,-4.6719,-1.9912,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.3293,-0.0010,-1.9357,0.0079,-0.0135,0.0079,-1.9357,0.0079,-0.0135,0.0079,-1.9357,0.0079,-0.0135,0.0079,-1.9357,0.0079,-0.0135,0.0079,-1.9357,0.0079,-0.0135,0.0079
19,16,16,-4.0000,-1.0371,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.4990,-0.2629,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079
20,18,18,-6.0000,-1.0898,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.0010,-0.2483,-0.0135,0.0079,-0.0102,0.0079,-0.0135,0.0079,-0.0102,0.0079,-0.0135,0.0079,-0.0102,0.0079,-0.0135,0.0079,-0.0102,0.0079,-0.0135,0.0079,-0.0102,0.0079
21,16,16,-4.0000,-1.0371,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.4990,-0.2629,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079
22,19,19,-6.0000,-1.0371,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.0010,-0.2629,-0.0102,0.0079,0.0000,0.0079,-0.0102,0.0079,0.0000,0.0079,-0.0102,0.0079,0.0000,0.0079,-0.0102,0.0079,0.0000,0.0079,-0.0102,0.0079,0.0000,0.0079
23,18,18,-6.0000,-1.0898,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.0010,-0.2483,-0.0135,0.0079,-0.0102,0.0079,-0.0135,0.0079,-0.0102,0.0079,-0.0135,0.0079,-0.0102,0.0079,-0.0135,0.0079,-0.0102,0.0079,-0.0135,0.0079,-0.0102,0.0079
24,19,19,-6.0000,-1.0371,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.0010,-0.2629,-0.0102,0.0079,0.0000,0.0079,-0.0102,0.0079,0.0000,0.0079,-0.0102,0.0079,0.0000,0.0079,-0.0102,0.0079,0.0000,0.0079,-0.0102,0.0079,0.0000,0.0079
25,16,16,-4.0000,-1.0371,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.4990,-0.2629,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079,-0.0102,0.0079,-1.9357,0.0079
26,20,20,-4.0000,0.0000,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.4990,-0.5010,0.0000,0.0079,-0.0000,0.0079,0.0000,0.0079,-0.0000,0.0079,0.0000,0.0079,-0.0000,0.0079,0.0000,0.0079,-0.0000,0.0079,0.0000,0.0079,-0.0000,0.0079
27,21,21,-6.0000,-0.0000,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.0010,-0.5010,-0.0000,0.0079,-0.0135,0.0079,-0.0000,0.0079,-0.0135,0.0079,-0.0000,0.0079,-0.0135,0.0079,-0.0000,0.0079,-0.0135,0.0079,-0.0000,0.0079,-0.0135,0.0079
28,19,19,-6.0000,-1.0371,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.0010,-0.2629,-0.0102,0.0079,0.0000,0.0079,-0.0102,0.0079,0.0000,0.0079,-0.0102,0.0079,0.0000,0.0079,-0.0102,0.0079,0.0000,0.0079,-0.0102,0.0079,0.0000,0.0079
29,20,20,-4.0000,0.0000,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.4990,-0.5010,0.0000,0.0079,-0.0000,0.0079,0.0000,0.0079,-0.0000,0.0079,0.0000,0.0079,-0.0000,0.0079,0.0000,0.0079,-0.0000,0.0079,0.0000,0.0079,-0.0000,0.0079
30,22,22,-6.0000,-1.0898,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.4990,-0.2483,-0.0135,0.0079,-0.0102,0.0079,-0.0135,0.0079,-0.0102,0.0079,-0.0135,0.0079,-0.0102,0.0079,-0.0135,0.0079,-0.0102,0.0079,-0.0135,0.0079,-0.0102,0.0079
31,23,23,-6.0000,-1.0371,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.4990,-0.2629,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079
32,24,24,-6.0781,-1.0371,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,129,254,127,255,0.4780,-0.2629,-0.0102,0.0079,-0.0000,0.0079,-0.0102,0.0079,-0.0000,0.0079,-0.0102,0.0079,-0.0000,0.0079,-0.0102,0.0079,-0.0000,0.0079,-0.0102,0.0079,-0.0000,0.0079
33,24,24,-6.0781,-1.0371,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,129,254,127,255,0.4780,-0.2629,-0.0102,0.0079,-0.0000,0.0079,-0.0102,0.0079,-0.0000,0.0079,-0.0102,0.0079,-0.0000,0.0079,-0.0102,0.0079,-0.0000,0.0079,-0.0102,0.0079,-0.0000,0.0079
34,23,23,-6.0000,-1.0371,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.4990,-0.2629,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079
35,25,25,-6.0781,-0.0000,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,128,254,127,255,0.4780,-0.5010,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074
36,24,24,-6.0781,-1.0371,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,129,254,127,255,0.4780,-0.2629,-0.0102,0.0079,-0.0000,0.0079,-0.0102,0.0079,-0.0000,0.0079,-0.0102,0.0079,-0.0000,0.0079,-0.0102,0.0079,-0.0000,0.0079,-0.0102,0.0079,-0.0000,0.0079
37,25,25,-6.0781,-0.0000,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,128,254,127,255,0.4780,-0.5010,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074
38,26,26,-6.8672,-0.4846,-12.0000,0.9932,0.0000,0.0000,1.0000,0.0000,130,254,127,255,0.2810,-0.3826,-0.0000,0.0074,-0.0000,0.0073,-0.0000,0.0074,-0.0000,0.0073,-0.0000,0.0074,-0.0000,0.0073,-0.0000,0.0074,-0.0000,0.0073,-0.0000,0.0074,-0.0000,0.0073
39,25,25,-6.0781,-0.0000,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,128,254,127,255,0.4780,-0.5010,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074
40,27,27,-7.0781,-0.0000,-12.0000,0.9922,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.2279,-0.5010,-0.0000,0.0073,-0.0000,0.0079,-0.0000,0.0073,-0.0000,0.0079,-0.0000,0.0073,-0.0000,0.0079,-0.0000,0.0073,-0.0000,0.0079,-0.0000,0.0073,-0.0000,0.0079
41,26,26,-6.8672,-0.4846,-12.0000,0.9932,0.0000,0.0000,1.0000,0.0000,130,254,127,255,0.2810,-0.3826,-0.0000,0.0074,-0.0000,0.0073,-0.0000,0.0074,-0.0000,0.0073,-0.0000,0.0074,-0.0000,0.0073,-0.0000,0.0074,-0.0000,0.0073,-0.0000,0.0074,-0.0000,0.0073
42,23,23,-6.0000,-1.0371,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.4990,-0.2629,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079,-0.0102,0.0079
43,28,28,-6.0000,-0.0000,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,127,255,127,255,0.4990,-0.5010,-0.0000,0.0079,0.0079,0.0011,-0.0000,0.0079,0.0079,0.0011,-0.0000,0.0079,0.0079,0.0011,-0.0000,0.0079,0.0079,0.0011,-0.0000,0.0079,0.0079,0.0011
44,25,25,-6.0781,-0.0000,-12.0000,1.0000,0.0000,0.0000,1.0000,0.0000,128,254,127,255,0.4780,-0.5010,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074,-0.0000,0.0079,-0.0000,0.0074
45,29,29,-2.0000,1.0000,-16.0000,0.8179,0.0000,0.0000,1.0000,0.0000,127,255,127,255,1.0010,1.0000,0.0079,0.0011,0.0078,0.0071,0.0079,0.0011,0.0078,0.0071,0.0079,0.0011,0.0078,0.0071,0.0079,0.0011,0.0078,0.0071,0.0079,0.0011,0.0078,0.0071
46,30,30,0.0000,1.0000,-16.0000,0.9878,0.0000,0.0000,1.0000,0.0000,127,255,127,255,1.4990,1.0000,0.0078,0.0071,32.0000,0.0069,0.0078,0.0071,32.0000,0.0069,0.0078,0.0071,32.0000,0.0069,0.0078,0.0071,32.0000,0.0069,0.0078,0.0071,32.0000,0.0069
47,31,31,0.0000,3.0000,-16.0000,0.9849,0.0000,0.0000,1.0000,0.0000,127,255,127,255,1.4990,0.5000,32.0000,0.0069,32.1875,0.0011,32.0000,0.0069,32.1875,0.0011,32.0000,0.0069,32.1875,0.0011,32.0000,0.0069,32.1875,0.0011,32.0000,0.0069,32.1875,0.0011
