IB Offset,Index,Index + Base,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 0,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 1,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 2,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 3,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 0,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 1,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 2,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 3,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 0,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 1,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 2,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 3,3 - TEXCOORD0 (R16G16_FLOAT) : Component 0,3 - TEXCOORD0 (R16G16_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 0,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 2,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 3,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 0,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 1,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 2,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 3,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 0,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 1,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 2,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 3,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 0,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 1,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 2,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 3,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 0,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 1,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 2,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 3
0,0,0,6.3008,0.9785,8.0000,0.9385,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,1.0000,0.0065,0.0040,0.0065,0.0039,0.0065,0.0040,0.0065,0.0039,0.0065,0.0040,0.0065,0.0039,0.0065,0.0040,0.0065,0.0039,0.0065,0.0040,0.0065,0.0039
1,1,1,6.3008,0.9785,6.0000,0.9365,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,1.0000,0.0065,0.0039,32.0687,0.0022,0.0065,0.0039,32.0687,0.0022,0.0065,0.0039,32.0687,0.0022,0.0065,0.0039,32.0687,0.0022,0.0065,0.0039,32.0687,0.0022
2,2,2,6.3008,3.0000,8.0000,0.8823,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022
3,1,1,6.3008,0.9785,6.0000,0.9365,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,1.0000,0.0065,0.0039,32.0687,0.0022,0.0065,0.0039,32.0687,0.0022,0.0065,0.0039,32.0687,0.0022,0.0065,0.0039,32.0687,0.0022,0.0065,0.0039,32.0687,0.0022
4,3,3,6.3008,3.0000,6.0000,0.8828,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0687,0.0022,2052.3938,0.0045,32.0687,0.0022,2052.3938,0.0045,32.0687,0.0022,2052.3938,0.0045,32.0687,0.0022,2052.3938,0.0045,32.0687,0.0022,2052.3938,0.0045
5,2,2,6.3008,3.0000,8.0000,0.8823,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022
6,2,2,6.3008,3.0000,8.0000,0.8823,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022,32.0687,0.0022
7,3,3,6.3008,3.0000,6.0000,0.8828,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0687,0.0022,2052.3938,0.0045,32.0687,0.0022,2052.3938,0.0045,32.0687,0.0022,2052.3938,0.0045,32.0687,0.0022,2052.3938,0.0045,32.0687,0.0022,2052.3938,0.0045
8,4,4,6.3008,5.0000,8.0000,0.9468,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.0010,2052.3938,0.0045,2052.3938,0.0044,2052.3938,0.0045,2052.3938,0.0044,2052.3938,0.0045,2052.3938,0.0044,2052.3938,0.0045,2052.3938,0.0044,2052.3938,0.0045,2052.3938,0.0044
9,3,3,6.3008,3.0000,6.0000,0.8828,1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0687,0.0022,2052.3938,0.0045,32.0687,0.0022,2052.3938,0.0045,32.0687,0.0022,2052.3938,0.0045,32.0687,0.0022,2052.3938,0.0045,32.0687,0.0022,2052.3938,0.0045
