IB Offset,Index,Index + Base,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 0,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 1,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 2,0 - POSITION0 (R16G16B16A16_FLOAT) : Component 3,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 0,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 1,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 2,1 - NORMAL0 (R16G16B16A16_FLOAT) : Component 3,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 0,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 1,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 2,2 - BINORMAL0 (R8G8B8A8_UNORM) : Component 3,3 - TEXCOORD0 (R16G16_FLOAT) : Component 0,3 - TEXCOORD0 (R16G16_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 0,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 1,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 2,4 - COLOR0 (R32G32B32A32_FLOAT) : Component 3,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 0,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 1,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 2,5 - COLOR1 (R32G32B32A32_FLOAT) : Component 3,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 0,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 1,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 2,6 - TEXCOORD4 (R32G32B32A32_FLOAT) : Component 3,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 0,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 1,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 2,7 - TEXCOORD5 (R32G32B32A32_FLOAT) : Component 3,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 0,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 1,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 2,8 - TANGENT0 (R32G32B32A32_FLOAT) : Component 3
0,0,0,4.0000,0.9785,-10.0000,0.6289,-1.0000,0.0000,0.0000,0.0000,127,254,127,0,-0.0010,1.0000,0.0065,0.0001,0.0065,0.0029,0.0065,0.0001,0.0065,0.0029,0.0065,0.0001,0.0065,0.0029,0.0065,0.0001,0.0065,0.0029,0.0065,0.0001,0.0065,0.0029
1,1,1,4.0000,0.9785,-8.0000,0.9048,-1.0000,0.0000,0.0000,0.0000,127,254,127,0,-0.4990,1.0000,0.0065,0.0029,32.0664,0.0000,0.0065,0.0029,32.0664,0.0000,0.0065,0.0029,32.0664,0.0000,0.0065,0.0029,32.0664,0.0000,0.0065,0.0029,32.0664,0.0000
2,2,2,4.0000,3.0000,-10.0000,0.4961,-1.0000,0.0000,0.0000,0.0000,127,255,127,0,-0.0010,0.5000,32.0664,0.0000,32.0664,0.0013,32.0664,0.0000,32.0664,0.0013,32.0664,0.0000,32.0664,0.0013,32.0664,0.0000,32.0664,0.0013,32.0664,0.0000,32.0664,0.0013
3,1,1,4.0000,0.9785,-8.0000,0.9048,-1.0000,0.0000,0.0000,0.0000,127,254,127,0,-0.4990,1.0000,0.0065,0.0029,32.0664,0.0000,0.0065,0.0029,32.0664,0.0000,0.0065,0.0029,32.0664,0.0000,0.0065,0.0029,32.0664,0.0000,0.0065,0.0029,32.0664,0.0000
4,3,3,4.0000,3.0000,-8.0000,0.8335,-1.0000,0.0000,0.0000,0.0000,127,255,127,0,-0.4990,0.5000,32.0664,0.0013,2052.2500,0.0001,32.0664,0.0013,2052.2500,0.0001,32.0664,0.0013,2052.2500,0.0001,32.0664,0.0013,2052.2500,0.0001,32.0664,0.0013,2052.2500,0.0001
5,2,2,4.0000,3.0000,-10.0000,0.4961,-1.0000,0.0000,0.0000,0.0000,127,255,127,0,-0.0010,0.5000,32.0664,0.0000,32.0664,0.0013,32.0664,0.0000,32.0664,0.0013,32.0664,0.0000,32.0664,0.0013,32.0664,0.0000,32.0664,0.0013,32.0664,0.0000,32.0664,0.0013
6,2,2,4.0000,3.0000,-10.0000,0.4961,-1.0000,0.0000,0.0000,0.0000,127,255,127,0,-0.0010,0.5000,32.0664,0.0000,32.0664,0.0013,32.0664,0.0000,32.0664,0.0013,32.0664,0.0000,32.0664,0.0013,32.0664,0.0000,32.0664,0.0013,32.0664,0.0000,32.0664,0.0013
7,3,3,4.0000,3.0000,-8.0000,0.8335,-1.0000,0.0000,0.0000,0.0000,127,255,127,0,-0.4990,0.5000,32.0664,0.0013,2052.2500,0.0001,32.0664,0.0013,2052.2500,0.0001,32.0664,0.0013,2052.2500,0.0001,32.0664,0.0013,2052.2500,0.0001,32.0664,0.0013,2052.2500,0.0001
8,4,4,4.0000,5.0000,-10.0000,0.5781,-1.0000,0.0000,0.0000,0.0000,127,254,127,0,-0.0010,0.0010,2052.2500,0.0001,2052.2500,0.0026,2052.2500,0.0001,2052.2500,0.0026,2052.2500,0.0001,2052.2500,0.0026,2052.2500,0.0001,2052.2500,0.0026,2052.2500,0.0001,2052.2500,0.0026
9,3,3,4.0000,3.0000,-8.0000,0.8335,-1.0000,0.0000,0.0000,0.0000,127,255,127,0,-0.4990,0.5000,32.0664,0.0013,2052.2500,0.0001,32.0664,0.0013,2052.2500,0.0001,32.0664,0.0013,2052.2500,0.0001,32.0664,0.0013,2052.2500,0.0001,32.0664,0.0013,2052.2500,0.0001
10,5,5,4.0000,5.0000,-8.0000,0.8955,-1.0000,0.0000,0.0000,0.0000,127,254,127,0,-0.4990,0.0010,2052.2500,0.0026,0.0065,0.0079,2052.2500,0.0026,0.0065,0.0079,2052.2500,0.0026,0.0065,0.0079,2052.2500,0.0026,0.0065,0.0079,2052.2500,0.0026,0.0065,0.0079
11,4,4,4.0000,5.0000,-10.0000,0.5781,-1.0000,0.0000,0.0000,0.0000,127,254,127,0,-0.0010,0.0010,2052.2500,0.0001,2052.2500,0.0026,2052.2500,0.0001,2052.2500,0.0026,2052.2500,0.0001,2052.2500,0.0026,2052.2500,0.0001,2052.2500,0.0026,2052.2500,0.0001,2052.2500,0.0026
12,6,6,4.0000,0.9785,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.4990,1.0000,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079
13,7,7,4.0000,3.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079
14,8,8,4.0000,0.9785,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.0010,1.0000,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079
15,7,7,4.0000,3.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079
16,9,9,4.0000,3.0000,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079
17,8,8,4.0000,0.9785,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.0010,1.0000,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079
18,7,7,4.0000,3.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079
19,10,10,4.0000,5.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.4990,0.0010,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079
20,9,9,4.0000,3.0000,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079
21,10,10,4.0000,5.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.4990,0.0010,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079
22,11,11,4.0000,5.0000,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.0010,0.0010,2052.2500,0.0079,0.0065,0.0079,2052.2500,0.0079,0.0065,0.0079,2052.2500,0.0079,0.0065,0.0079,2052.2500,0.0079,0.0065,0.0079,2052.2500,0.0079,0.0065,0.0079
23,9,9,4.0000,3.0000,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079
24,12,12,4.0000,0.9785,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.4990,1.0000,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079
25,13,13,4.0000,3.0000,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0664,0.0079,0.0065,0.0029,32.0664,0.0079,0.0065,0.0029,32.0664,0.0079,0.0065,0.0029,32.0664,0.0079,0.0065,0.0029,32.0664,0.0079,0.0065,0.0029
26,14,14,4.0000,0.9785,-8.0000,0.9048,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.0010,1.0000,0.0065,0.0029,32.0664,0.0013,0.0065,0.0029,32.0664,0.0013,0.0065,0.0029,32.0664,0.0013,0.0065,0.0029,32.0664,0.0013,0.0065,0.0029,32.0664,0.0013
27,13,13,4.0000,3.0000,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0664,0.0079,0.0065,0.0029,32.0664,0.0079,0.0065,0.0029,32.0664,0.0079,0.0065,0.0029,32.0664,0.0079,0.0065,0.0029,32.0664,0.0079,0.0065,0.0029
28,15,15,4.0000,3.0000,-8.0000,0.8335,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0664,0.0013,2052.2500,0.0079,32.0664,0.0013,2052.2500,0.0079,32.0664,0.0013,2052.2500,0.0079,32.0664,0.0013,2052.2500,0.0079,32.0664,0.0013,2052.2500,0.0079
29,14,14,4.0000,0.9785,-8.0000,0.9048,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.0010,1.0000,0.0065,0.0029,32.0664,0.0013,0.0065,0.0029,32.0664,0.0013,0.0065,0.0029,32.0664,0.0013,0.0065,0.0029,32.0664,0.0013,0.0065,0.0029,32.0664,0.0013
30,13,13,4.0000,3.0000,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0664,0.0079,0.0065,0.0029,32.0664,0.0079,0.0065,0.0029,32.0664,0.0079,0.0065,0.0029,32.0664,0.0079,0.0065,0.0029,32.0664,0.0079,0.0065,0.0029
31,16,16,4.0000,5.0000,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.4990,0.0010,2052.2500,0.0079,2052.2500,0.0026,2052.2500,0.0079,2052.2500,0.0026,2052.2500,0.0079,2052.2500,0.0026,2052.2500,0.0079,2052.2500,0.0026,2052.2500,0.0079,2052.2500,0.0026
32,15,15,4.0000,3.0000,-8.0000,0.8335,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0664,0.0013,2052.2500,0.0079,32.0664,0.0013,2052.2500,0.0079,32.0664,0.0013,2052.2500,0.0079,32.0664,0.0013,2052.2500,0.0079,32.0664,0.0013,2052.2500,0.0079
33,16,16,4.0000,5.0000,-6.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.4990,0.0010,2052.2500,0.0079,2052.2500,0.0026,2052.2500,0.0079,2052.2500,0.0026,2052.2500,0.0079,2052.2500,0.0026,2052.2500,0.0079,2052.2500,0.0026,2052.2500,0.0079,2052.2500,0.0026
34,17,17,4.0000,5.0000,-8.0000,0.8955,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.0010,0.0010,2052.2500,0.0026,0.0065,0.0078,2052.2500,0.0026,0.0065,0.0078,2052.2500,0.0026,0.0065,0.0078,2052.2500,0.0026,0.0065,0.0078,2052.2500,0.0026,0.0065,0.0078
35,15,15,4.0000,3.0000,-8.0000,0.8335,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0664,0.0013,2052.2500,0.0079,32.0664,0.0013,2052.2500,0.0079,32.0664,0.0013,2052.2500,0.0079,32.0664,0.0013,2052.2500,0.0079,32.0664,0.0013,2052.2500,0.0079
36,18,18,4.0000,0.9785,0.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.4990,1.0000,0.0065,0.0078,32.0664,0.0078,0.0065,0.0078,32.0664,0.0078,0.0065,0.0078,32.0664,0.0078,0.0065,0.0078,32.0664,0.0078,0.0065,0.0078,32.0664,0.0078
37,19,19,4.0000,3.0000,0.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0664,0.0078,0.0065,0.0079,32.0664,0.0078,0.0065,0.0079,32.0664,0.0078,0.0065,0.0079,32.0664,0.0078,0.0065,0.0079,32.0664,0.0078,0.0065,0.0079
38,20,20,4.0000,0.9785,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.0010,1.0000,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079
39,19,19,4.0000,3.0000,0.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0664,0.0078,0.0065,0.0079,32.0664,0.0078,0.0065,0.0079,32.0664,0.0078,0.0065,0.0079,32.0664,0.0078,0.0065,0.0079,32.0664,0.0078,0.0065,0.0079
40,21,21,4.0000,3.0000,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0664,0.0079,2052.2500,0.0078,32.0664,0.0079,2052.2500,0.0078,32.0664,0.0079,2052.2500,0.0078,32.0664,0.0079,2052.2500,0.0078,32.0664,0.0079,2052.2500,0.0078
41,20,20,4.0000,0.9785,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.0010,1.0000,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079
42,19,19,4.0000,3.0000,0.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0664,0.0078,0.0065,0.0079,32.0664,0.0078,0.0065,0.0079,32.0664,0.0078,0.0065,0.0079,32.0664,0.0078,0.0065,0.0079,32.0664,0.0078,0.0065,0.0079
43,22,22,4.0000,5.0000,0.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.4990,0.0010,2052.2500,0.0078,2052.2500,0.0079,2052.2500,0.0078,2052.2500,0.0079,2052.2500,0.0078,2052.2500,0.0079,2052.2500,0.0078,2052.2500,0.0079,2052.2500,0.0078,2052.2500,0.0079
44,21,21,4.0000,3.0000,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0664,0.0079,2052.2500,0.0078,32.0664,0.0079,2052.2500,0.0078,32.0664,0.0079,2052.2500,0.0078,32.0664,0.0079,2052.2500,0.0078,32.0664,0.0079,2052.2500,0.0078
45,22,22,4.0000,5.0000,0.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.4990,0.0010,2052.2500,0.0078,2052.2500,0.0079,2052.2500,0.0078,2052.2500,0.0079,2052.2500,0.0078,2052.2500,0.0079,2052.2500,0.0078,2052.2500,0.0079,2052.2500,0.0078,2052.2500,0.0079
46,23,23,4.0000,5.0000,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.0010,0.0010,2052.2500,0.0079,0.0065,0.0079,2052.2500,0.0079,0.0065,0.0079,2052.2500,0.0079,0.0065,0.0079,2052.2500,0.0079,0.0065,0.0079,2052.2500,0.0079,0.0065,0.0079
47,21,21,4.0000,3.0000,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0664,0.0079,2052.2500,0.0078,32.0664,0.0079,2052.2500,0.0078,32.0664,0.0079,2052.2500,0.0078,32.0664,0.0079,2052.2500,0.0078,32.0664,0.0079,2052.2500,0.0078
48,24,24,4.0000,0.9785,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.4990,1.0000,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079
49,25,25,4.0000,3.0000,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079
50,26,26,4.0000,0.9785,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.0010,1.0000,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079
51,25,25,4.0000,3.0000,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079
52,27,27,4.0000,3.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079
53,26,26,4.0000,0.9785,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.0010,1.0000,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079
54,25,25,4.0000,3.0000,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.4990,0.5000,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079,32.0664,0.0079,0.0065,0.0079
55,28,28,4.0000,5.0000,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.4990,0.0010,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079
56,27,27,4.0000,3.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079
57,28,28,4.0000,5.0000,-2.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.4990,0.0010,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079,2052.2500,0.0079
58,29,29,4.0000,5.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,254,127,255,0.0010,0.0010,2052.2500,0.0079,32.0667,0.0038,2052.2500,0.0079,32.0667,0.0038,2052.2500,0.0079,32.0667,0.0038,2052.2500,0.0079,32.0667,0.0038,2052.2500,0.0079,32.0667,0.0038
59,27,27,4.0000,3.0000,-4.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,127,255,127,255,0.0010,0.5000,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079,32.0664,0.0079,2052.2500,0.0079
